title,company,location,salary_min,salary_max,salary_text,tags,date_posted,url,source,description,detail_description,detail_seniority,detail_employment_type,detail_job_function,detail_industry,detail_salary,detail_work_arrangement,detail_applicants,detail_scraped
Data Entry Coordinator,Profound Research,Remote,0.0,0.0,,"system, training, coordinator, support, testing, growth, travel, education, microsoft, management, operations, health, healthcare",2026-05-07T00:01:09+00:00,https://remoteOK.com/remote-jobs/remote-data-entry-coordinator-profound-research-1131500,RemoteOK,"<p>
</p><p>
</p><p><span data-contrast=""none"">About Profound Research</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:0,&quot;335559740&quot;:240}"">&nbsp;</span></p>
<p></p>
<p>
</p><p><span data-contrast=""auto"">Profound Research partners with community physicians to offer clinical trials as a therapeutic&nbsp;option&nbsp;for their patients. We handle all infrastructure, regulatory compliance, and administrative operations so physicians can focus on patient care. Our m",,,,,,,,,
Mid Senior AI Cinematic Video Editor,EverAI,,60000.0,100000.0,,"ai, Video Editor, Long-form Video Content, Motion graphic design, Colour correction, ComfyUI, Stable Diffusion, AI Video Production",2026-05-06T11:27:14+00:00,https://remoteOK.com/remote-jobs/remote-mid-senior-ai-cinematic-video-editor-everai-1131485,RemoteOK,"<div class=""_descriptionText_135ul_202""><h1>Our Vision &amp; Products</h1><p><em><strong>ð EverAI â Building the Future of AI Companionship</strong></em></p><p><em>One of the Top 15 Largest &amp; Fastest-Growing AI Companies in the World</em></p><p><em>50 Million Users in 2 years â Help Us Reach 100M first, 500M next</em></p><p><br /></p><p>AtÂ <strong>EverAI</strong>, weâre shaping what it means to connect with AI. WithÂ <strong>50 million users and counting</strong>, we're not just bu",,,,,,,,,
Business Analyst,"Contact Government Services, LLC",,0.0,0.0,,"analyst, design, jira, system, security, training, technical, support, growth, voice, financial, microsoft, content, senior, operations, executive, digital nomad",2026-05-05T08:00:25+00:00,https://remoteOK.com/remote-jobs/remote-business-analyst-contact-government-services-llc-1131467,RemoteOK,"<p><span style=""font-size: 16px"">Business Analyst</span></p><p>Employment Type: Full-Time, Experienced</p><p>Department: Information Technology </p><p><br></p><p><span style=""font-size: 12px"">CGS is looking for business analysts to work with a large federal agency!&nbsp;As a Business Analyst in Business operations and Content Strategy&nbsp;for CGS, you will partner with internal business owners and external partners to understand new business opportunities and define functional requirements.&nbs",,,,,,,,,
3D Modeling & Python Specialist Freelance AI Trainer Project,Invisible Agency,,0.0,0.0,,"python, 3d, trainer, training",2026-05-05T00:00:09+00:00,https://remoteOK.com/remote-jobs/remote-3d-modeling-python-specialist-freelance-ai-trainer-project-invisible-agency-1131456,RemoteOK,"<div><h3><strong>Project Overview</strong></h3>
<p>We are sourcing independent 3D Modeling and Python Specialists to provide their expertise for a specialized AI 3D asset collection project. As AI models increasingly generate and interact with 3D environments, their accuracy relies entirely on robust, expert-crafted training data. The objective of this project is to autonomously produce collision-accurate 3D meshes from 2D reference images, write procedural generation scripts, and deliver struct",,,,,,,,,
VFX Artist AI Training Vancouver Canada,Prolific Academic Ltd,Vancouver,0.0,0.0,,"vfx, training, 3d, gaming, unity, technical",2026-05-04T00:00:09+00:00,https://remoteOK.com/remote-jobs/remote-vfx-artist-ai-training-vancouver-canada-prolific-academic-ltd-1131439,RemoteOK,"<div><h2 style=""text-align: center;""><strong><em>VFX Artist - AI Training</em></strong></h2>
<p>&nbsp;</p>
<div style=""text-align: center;""><strong><em>About Prolific</em></strong></div>
<p>Prolific is not just another player in the AI space â we are building the biggest pool of quality human data in the world.</p>
<p>Over 35,000 AI developers, researchers, and organizations use Prolific to gather data from paid study participants with a wide variety of experiences, knowledge, and skills.</p>
",,,,,,,,,
Data Success Manager,Murmuration,,0.0,0.0,,"manager, training, technical, support, strategy, management, lead, operational, health",2026-05-01T00:00:50+00:00,https://remoteOK.com/remote-jobs/remote-data-success-manager-murmuration-1131410,RemoteOK,"<p>Who We Are</p><p>At Murmuration, we believe that Americaâs promise is shaped and reshaped by the best ideas and ideals of its communities, and the dreams of the people who believe in a better life for themselves, their families, and each other.Â </p><p>We help organizations build power in their communities in four key ways: we organize a network of values-aligned partners; we provide deep, data-driven insights into people, places, and perspectives; we develop tools that make organizing and ",,,,,,,,,
Senior Site Reliability Engineer AI Infrastructure,Andromeda Cluster,San Francisco,0.0,0.0,,"design, training, technical, software, code, manager, financial, cloud, management, lead, senior, operations, reliability, go, health, engineer, engineering, linux, digital nomad",2026-04-29T00:01:03+00:00,https://remoteOK.com/remote-jobs/remote-senior-site-reliability-engineer-ai-infrastructure-andromeda-cluster-1131375,RemoteOK,"<p style=""min-height:1.5em""><strong>Senior Site Reliability Engineer - AI Infrastructure</strong></p><p style=""min-height:1.5em"">Location: Global Remote / San Francisco Â· Full-Time</p><p style=""min-height:1.5em""></p><p style=""min-height:1.5em""><strong>About Andromeda</strong></p><p style=""min-height:1.5em"">Andromeda Cluster was founded by Nat Friedman and Daniel Gross to give early-stage startups access to the kind of scaled AI infrastructure once reserved only for hyperscalers.</p><p style=""mi",,,,,,,,,
HQ AI Enablement Lead,Everfield,,0.0,0.0,,"saas, teaching, training, consulting, consult, technical, support, software, code, travel, financial, strategy, management, lead, operational",2026-04-25T00:00:49+00:00,https://remoteOK.com/remote-jobs/remote-hq-ai-enablement-lead-everfield-1131322,RemoteOK,"<h2><strong>About Everfield</strong></h2><p style=""min-height:1.5em"">Everfield buys, builds, and grows European vertical market and specialist software companies, providing them with the tools they need to move to the next level. Our mission is to foster ambition, fuel growth, and unlock opportunities for Europe's software ecosystem.</p><p style=""min-height:1.5em"">Companies in the Everfield ecosystem follow a decentralised model, maintaining their team, brand, and offices, while focusing on what",,,,,,,,,
Mid Senior AI Video Artist,EverAI,,30000.0,60000.0,,"marketing, video, ai",2026-04-23T08:11:46+00:00,https://remoteOK.com/remote-jobs/remote-mid-senior-ai-video-artist-everai-1131288,RemoteOK,"<h1>Our Vision &amp; Products</h1><p><em><strong>ð EverAI â Building the Future of AI Companionship</strong></em></p><p><em>One of the Top 15 Largest &amp; Fastest-Growing AI Companies in the World</em></p><p><em>50 Million Users in 2 years â Help Us Reach 100M first, 500M next</em></p><p><br /></p><p>AtÂ <strong>EverAI</strong>, weâre shaping what it means to connect with AI. WithÂ <strong>50 million users and counting</strong>, we're not just building products â we're creating entir",,,,,,,,,
Search Engine Evaluation Specialist Freelance AI Trainer Project,Invisible Agency,United States of America,0.0,0.0,,"trainer, design, training, digital nomad",2026-04-22T00:01:28+00:00,https://remoteOK.com/remote-jobs/remote-search-engine-evaluation-specialist-freelance-ai-trainer-project-invisible-agency-1131259,RemoteOK,"<div><h3><strong>Project Overview</strong></h3>
<p>We are sourcing independent Search Engine Evaluation Specialists to provide their expertise for an AI benchmark evaluation project. As AI models increasingly interpret search intent, analyze indexing protocols, and evaluate search rank responses, their accuracy relies entirely on robust, expert-crafted training data. The objective of this project is to autonomously produce high-quality evaluation tasks, strong prompts, and clear, well-structured",,,,,,,,,
Data Analyst,Criptoro,,70000.0,80000.0,,"other, analyst, crypto, defi, blockchain, web3",2026-04-19T22:35:44+00:00,https://remoteOK.com/remote-jobs/remote-data-analyst-criptoro-1131219,RemoteOK,"<p>We are a Web3-driven company building decentralized products and working with blockchain data to create transparent and data-informed solutions. We are looking for a Junior Data Analyst who is curious about blockchain, crypto, and decentralized ecosystems</p><p><br /></p><h2>Responsibilities</h2><ul><li>Collect, clean, and analyze on-chain and off-chain data</li><li>Work with blockchain datasets (transactions, wallets, smart contracts)</li><li>Build dashboards to track key metrics (users, tra",,,,,,,,,
